_id,name,status,content.book_code,book_id
5eff3a5c27278334e9e9b8ed,ESIC Upper Division Clerks & Multi Tasking Staff Recruitment Exam Phase-I,active,PPGN183,"5eff3a5c27278334e9e9b8ed/PPGN183/PrePG/English, Quantitative Aptitude, Reasoning"
5f00237427278334e9ea5992,Andhra Pradesh General Knowledge,active,PPGSSC053,5f00237427278334e9ea5992/PPGSSC053/PrePG/General Knowledge%2F General Awareness
5f033b4627278334e9ed468d,Daily Practice Problems (DPP) Algebra JEE Main and Advanced,active,PUGJEE5439,5f033b4627278334e9ed468d/PUGJEE5439/PreUG/Mathematics
5f042a8027278334e9ee1bff,The Science Time,active,EL01S018,5f042a8027278334e9ee1bff/EL01S018/1/Science
5f042fe627278334e9ee29c4,Galaxy A Course In Science,active,EL01S010,5f042fe627278334e9ee29c4/EL01S010/1/Science
5f047a6727278334e9eed6f7,Universal Science - Revised,active,EL03S042,5f047a6727278334e9eed6f7/EL03S042/3/Science
5ebcc52788089454bc1cd0c3,New Millenium Science Super Simplified Chemistry,active,EL10C024,5ebcc52788089454bc1cd0c3/EL10C024/10/Chemistry
5ebcfd2688089454bc1d0902,Science for the Young Scholar,active,EL02S018,5ebcfd2688089454bc1d0902/EL02S018/2/Science
5ebd6925c2ecd101167f6f87,Science Biology Grade 10,active,EL10B102,5ebd6925c2ecd101167f6f87/EL10B102/10/Biology
5ebd6b98c2ecd101167f7162,NCERT Mathematics Grade 9,active,NCERT09M01,5ebd6b98c2ecd101167f7162/NCERT09M01/9/Mathematics
5ed9460044008f129d197e43,Modern History For UPSC and State Civil Services Examinations,active,PPGN107,5ed9460044008f129d197e43/PPGN107/PrePG/History
5ed9c9c244008f129d1995be,Pruquest Science,active,EL05S025,5ed9c9c244008f129d1995be/EL05S025/5/Science
5eda0af144008f129d19e086,Daily Practice Problems (DPP) Coordinate Geometry JEE Main and Advanced,active,PUGJEE5443,5eda0af144008f129d19e086/PUGJEE5443/11/Mathematics
5eda2b0544008f129d19e32b,THE EARTH AND US A BOOK OF ENVIRONMENT STUDIES,active,EL03S018,5eda2b0544008f129d19e32b/EL03S018/3/Environmental Studies
5efba6ec27278334e9e64a1b,New Integrated Primary Science Grade 3,active,EL03S058,5efba6ec27278334e9e64a1b/EL03S058/3/Science
5f0031f627278334e9ea892c,SSC CGL Tier I Exam,active,PPGSSC054,"5f0031f627278334e9ea892c/PPGSSC054/PrePG/English, Quantitative Aptitude, Reasoning, General Knowledge%2F General Awareness"
5f008cf427278334e9eaff04,Practical Skills in Science,active,EL09S021,5f008cf427278334e9eaff04/EL09S021/9/Science
5f043cbf27278334e9ee4282,Learning Elementary Science Grade 4,active,EL04S057,5f043cbf27278334e9ee4282/EL04S057/4/Science
5f0589ac27278334e9efdd5e,Science for Juniors 4,active,EL04S024,5f0589ac27278334e9efdd5e/EL04S024/4/Science
5f05ba4d27278334e9f058e5,DPP ELECTROSTATICS AND CURRENT ELECTRICITY NEET,active,PUGNEET5190,5f05ba4d27278334e9f058e5/PUGNEET5190/PreUG/Physics
