Child_ID,Exam,Goal,Grade,Title,Type,Format_refrence,Section_name,Subject,Subject_tagged,Learnpath_name,Learnmap_id,Chapter
3615594,1st CBSE,CBSE,1,Shapes and Space,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 1st CBSE,Mathematics,Mathematics,cbse--1st cbse--mathematics--geometry--shapes and space,5ec5867a0c88fe5860961943/CBSE/1st CBSE/Mathematics/Geometry/Shapes and Space,shapes and space
3615594,1st CBSE,CBSE,1,Numbers from One to Nine,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 1st CBSE,Mathematics,Mathematics,cbse--1st cbse--mathematics--arithmetic--numbers from one to nine,5ec5867a0c88fe5860961943/CBSE/1st CBSE/Mathematics/Arithmetic/Numbers from One to Nine,numbers from one to nine
3615594,1st CBSE,CBSE,1,Addition,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 1st CBSE,Mathematics,Mathematics,cbse--1st cbse--mathematics--arithmetic--addition,5ec5867a0c88fe5860961943/CBSE/1st CBSE/Mathematics/Arithmetic/Addition,addition
3615594,1st CBSE,CBSE,1,Subtraction,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 1st CBSE,Mathematics,Mathematics,cbse--1st cbse--mathematics--arithmetic--subtraction,5ec5867a0c88fe5860961943/CBSE/1st CBSE/Mathematics/Arithmetic/Subtraction,subtraction
3615594,1st CBSE,CBSE,1,Numbers from Ten to Twenty,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 1st CBSE,Mathematics,Mathematics,cbse--1st cbse--mathematics--arithmetic--numbers from ten to twenty,5ec5867a0c88fe5860961943/CBSE/1st CBSE/Mathematics/Arithmetic/Numbers from Ten to Twenty,numbers from ten to twenty
3615594,1st CBSE,CBSE,1,Time,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 1st CBSE,Mathematics,Mathematics,cbse--1st cbse--mathematics--arithmetic--time,5ec5867a0c88fe5860961943/CBSE/1st CBSE/Mathematics/Arithmetic/Time,time
3615594,1st CBSE,CBSE,1,Measurement,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 1st CBSE,Mathematics,Mathematics,cbse--1st cbse--mathematics--arithmetic--measurement,5ec5867a0c88fe5860961943/CBSE/1st CBSE/Mathematics/Arithmetic/Measurement,measurement
3615594,1st CBSE,CBSE,1,Numbers from Twenty-one to Fifty,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 1st CBSE,Mathematics,Mathematics,cbse--1st cbse--mathematics--arithmetic--numbers from twenty-one to fifty,5ec5867a0c88fe5860961943/CBSE/1st CBSE/Mathematics/Arithmetic/Numbers from Twenty-one to Fifty,numbers from twenty-one to fifty
3615594,1st CBSE,CBSE,1,Data Handling,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 1st CBSE,Mathematics,Mathematics,cbse--1st cbse--mathematics--statistics--data handling,5ec5867a0c88fe5860961943/CBSE/1st CBSE/Mathematics/Statistics/Data Handling,data handling
3615594,1st CBSE,CBSE,1,Patterns,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 1st CBSE,Mathematics,Mathematics,cbse--1st cbse--mathematics--arithmetic--patterns,5ec5867a0c88fe5860961943/CBSE/1st CBSE/Mathematics/Arithmetic/Patterns,patterns
3615594,1st CBSE,CBSE,1,Numbers,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 1st CBSE,Mathematics,Mathematics,cbse--1st cbse--mathematics--arithmetic--numbers,5ec5867a0c88fe5860961943/CBSE/1st CBSE/Mathematics/Arithmetic/Numbers,numbers
3615594,1st CBSE,CBSE,1,Money,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 1st CBSE,Mathematics,Mathematics,cbse--1st cbse--mathematics--arithmetic--money,5ec5867a0c88fe5860961943/CBSE/1st CBSE/Mathematics/Arithmetic/Money,money
3615594,1st CBSE,CBSE,1,How Many,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 1st CBSE,Mathematics,Mathematics,cbse--1st cbse--mathematics--arithmetic--how many,5ec5867a0c88fe5860961943/CBSE/1st CBSE/Mathematics/Arithmetic/How Many,how many
3615594,1st CBSE,CBSE,1,Clay Handicrafts,learn_chapter,5ec5867a0c88fe5860961943,Learn Environmental Studies Chapters From 1st CBSE,Environmental Studies,Environmental Studies,cbse--1st cbse--environmental studies--incredible india--clay handicrafts,5ec5867a0c88fe5860961943/CBSE/1st CBSE/Environmental Studies/Incredible India/Clay Handicrafts,clay handicrafts
3615594,1st CBSE,CBSE,1,Exploring My India,learn_chapter,5ec5867a0c88fe5860961943,Learn Environmental Studies Chapters From 1st CBSE,Environmental Studies,Environmental Studies,cbse--1st cbse--environmental studies--incredible india--exploring my india,5ec5867a0c88fe5860961943/CBSE/1st CBSE/Environmental Studies/Incredible India/Exploring My India,exploring my india
