Screen,Goal,Exam,Exam_tagged,Is_exam_tagged_correct,Subject,Subject_tagged,Is_subject_tagged_correct,Video_id,Duration_given,Duration_display,Expected_duration_display,Is_duration_okay,Embium_coins,Is_title_present,Is_description_less_150_character_range,Image_url_present,Video_url_present,Teaser_url_present,Status,Title,Description,Learn_path
Learn/home,ICSE,1st ICSE,1st ICSE,Yes,All Subjects,Science,Yes,6410104.0,413.0,6 min 53 sec,6 mins 53 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Soil: Pollution and Conservation,It takes hundreds of years to form a layer of soil. Soil is very important for us as we need it to grow plants. How does the soil get damaged and what can we do to prevent it? Find out in this video.,ICSE--1st ICSE--Science--earth Science--the world around us--our world
Learn/home/Science,ICSE,1st ICSE,1st ICSE,Yes,Science,Science,Yes,6410104.0,413.0,6 min 53 sec,6 mins 53 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Soil: Pollution and Conservation,It takes hundreds of years to form a layer of soil. Soil is very important for us as we need it to grow plants. How does the soil get damaged and what can we do to prevent it? Find out in this video.,ICSE--1st ICSE--Science--earth Science--the world around us--our world
Learn/home/Mathematics,ICSE,1st ICSE,1st ICSE,Yes,Mathematics,Science,No,6410104.0,413.0,6 min 53 sec,6 mins 53 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Soil: Pollution and Conservation,It takes hundreds of years to form a layer of soil. Soil is very important for us as we need it to grow plants. How does the soil get damaged and what can we do to prevent it? Find out in this video.,ICSE--1st ICSE--Science--earth Science--the world around us--our world
Learn/home,ICSE,2nd ICSE,2nd ICSE,Yes,All Subjects,Mathematics,Yes,6409960.0,386.0,6 min 26 sec,6 mins 26 sec,No,100.0,Yes,No,Yes,Yes,Yes,Published,Adding Number Using Ones and Tens,Let's get more practice in adding up numbers from units and tens. Here are some more easy examples of carrying over.,ICSE--2nd ICSE--Mathematics--arithmetic--addition of numbers--column addition with regrouping (2 digits)
Learn/home/Science,ICSE,2nd ICSE,2nd ICSE,Yes,Science,Science,Yes,6410154.0,216.0,3 min 36 sec,3 mins 36 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,The Satellite,"In this video, you will learn about satellites and their types - natural satellite and artificial satellite. You will also learn about their different functions.","ICSE--2nd ICSE--Science--earth Science--sun, moon, stars and the earth--the earth and the moon"
Learn/home/Mathematics,ICSE,2nd ICSE,2nd ICSE,Yes,Mathematics,Mathematics,Yes,6409960.0,386.0,6 min 26 sec,6 mins 26 sec,No,100.0,Yes,No,Yes,Yes,Yes,Published,Adding Number Using Ones and Tens,Let's get more practice in adding up numbers from units and tens. Here are some more easy examples of carrying over.,ICSE--2nd ICSE--Mathematics--arithmetic--addition of numbers--column addition with regrouping (2 digits)
Learn/home,ICSE,3rd ICSE,3rd ICSE,Yes,All Subjects,Mathematics,Yes,6409969.0,149.0,2 min 29 sec,2 mins 29 sec,No,100.0,Yes,No,Yes,Yes,Yes,Published,Types of Surfaces and Edges of Objects,"Every objects around come in different sizes and shapes. In this video, we are going to identify the long and round objects.",ICSE--3rd ICSE--Mathematics--Geometry--Geometry--3D-shapes
Learn/home/Science,ICSE,3rd ICSE,3rd ICSE,Yes,Science,Science,Yes,6410154.0,216.0,3 min 36 sec,3 mins 36 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,The Satellite,"In this video, you will learn about satellites and their types - natural satellite and artificial satellite. You will also learn about their different functions.",ICSE--3rd ICSE--Science--physical Science--heavenly bodies--moon
Learn/home/Mathematics,ICSE,3rd ICSE,3rd ICSE,Yes,Mathematics,Mathematics,Yes,6409969.0,149.0,2 min 29 sec,2 mins 29 sec,No,100.0,Yes,No,Yes,Yes,Yes,Published,Types of Surfaces and Edges of Objects,"Every objects around come in different sizes and shapes. In this video, we are going to identify the long and round objects.",ICSE--3rd ICSE--Mathematics--Geometry--Geometry--3D-shapes
Learn/home,ICSE,4th ICSE,4th ICSE,Yes,All Subjects,Mathematics,Yes,6410053.0,79.0,1 min 19 sec,1 mins 19 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Units of Measurements,"The length of a pencil or a pen can be easily measured in centimetres! But, what about large objects like a cupBoard and a room? Watch the video to learn more about the different units of measurement!",ICSE--4th ICSE--Mathematics--arithmetic--metric measures--measurement of length
Learn/home/Science,ICSE,4th ICSE,4th ICSE,Yes,Science,Mathematics,No,6410053.0,79.0,1 min 19 sec,1 mins 19 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Units of Measurements,"The length of a pencil or a pen can be easily measured in centimetres! But, what about large objects like a cupBoard and a room? Watch the video to learn more about the different units of measurement!",ICSE--4th ICSE--Mathematics--arithmetic--metric measures--measurement of length
Learn/home/Mathematics,ICSE,4th ICSE,4th ICSE,Yes,Mathematics,Mathematics,Yes,6410053.0,79.0,1 min 19 sec,1 mins 19 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Units of Measurements,"The length of a pencil or a pen can be easily measured in centimetres! But, what about large objects like a cupBoard and a room? Watch the video to learn more about the different units of measurement!",ICSE--4th ICSE--Mathematics--arithmetic--metric measures--measurement of length
Learn/home,ICSE,5th ICSE,5th ICSE,Yes,All Subjects,Mathematics,Yes,5914251.0,177.0,2 min 57 sec,2 mins 57 sec,No,100.0,Yes,No,Yes,Yes,Yes,Published,Test for Divisibility by 3,"If the sum of the digits of a number is a number that you find in the 3 times table, then the number is divisible by 3. Learn more in this video.",ICSE--5th ICSE--Mathematics--Arithmetic--Playing with Numbers (Factors and Multiples)--Test for Divisibility of Numbers
Learn/home/Science,ICSE,5th ICSE,5th ICSE,Yes,Science,Science,Yes,6410176.0,237.0,3 min 57 sec,3 mins 57 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Food Chain,Have you ever heard of food chain? It is the process which tells how energy is transferred from one organism to another. Let's learn about it in detail!,ICSE--5th ICSE--Science--Biology--Interdependence of Plants and animals--Food Chain
Learn/home/Mathematics,ICSE,5th ICSE,5th ICSE,Yes,Mathematics,Mathematics,Yes,5914251.0,177.0,2 min 57 sec,2 mins 57 sec,No,100.0,Yes,No,Yes,Yes,Yes,Published,Test for Divisibility by 3,"If the sum of the digits of a number is a number that you find in the 3 times table, then the number is divisible by 3. Learn more in this video.",ICSE--5th ICSE--Mathematics--Arithmetic--Playing with Numbers (Factors and Multiples)--Test for Divisibility of Numbers
Learn/home,ICSE,6th ICSE,6th ICSE,Yes,All Subjects,Mathematics,Yes,5914311.0,74.0,1 min 14 sec,1 mins 14 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Addition of Integers with the Help of Absolute Values,What does absolute value mean? And how to add two integers using the absolute value strategy? Watch the video to learn about it with simplified examples.,ICSE--6th ICSE--Mathematics--Arithmetic--Negative Numbers and Integers--Addition and Subtraction of Integers
Learn/home/Science,ICSE,6th ICSE,6th ICSE,Yes,Science,Mathematics,No,5914311.0,74.0,1 min 14 sec,1 mins 14 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Addition of Integers with the Help of Absolute Values,What does absolute value mean? And how to add two integers using the absolute value strategy? Watch the video to learn about it with simplified examples.,ICSE--6th ICSE--Mathematics--Arithmetic--Negative Numbers and Integers--Addition and Subtraction of Integers
Learn/home/Mathematics,ICSE,6th ICSE,6th ICSE,Yes,Mathematics,Mathematics,Yes,5914311.0,74.0,1 min 14 sec,1 mins 14 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Addition of Integers with the Help of Absolute Values,What does absolute value mean? And how to add two integers using the absolute value strategy? Watch the video to learn about it with simplified examples.,ICSE--6th ICSE--Mathematics--Arithmetic--Negative Numbers and Integers--Addition and Subtraction of Integers
