goal,exam,subject,videoId,specialRank,videotitle,duration
CBSE,6th CBSE,Science,5912186,1,Electric Conductors and Insulators,214
CBSE,6th CBSE,Science,5914455,2,Concept of Magnetism,379
CBSE,6th CBSE,Science,5912183,3,Mirror and Reflection,161
CBSE,6th CBSE,Science,5914443,4,Measurement of Length,204
CBSE,6th CBSE,Science,5914451,5,Making a Bulb Glow Using Electricity,228
CBSE,6th CBSE,Science,5914412,6,Type of Changes Around Us,278
CBSE,6th CBSE,Science,5912172,7,Reversible and Irreversible Changes,186
CBSE,6th CBSE,Science,5912171,8,Separation Techniques for Mixtures,222
CBSE,6th CBSE,Science,5914409,9,Separation Techniques for Solid-Liquid Mixtures,221
CBSE,6th CBSE,Science,5914410,10,Evaporation as a Method of Separation,125
CBSE,6th CBSE,Mathematics,5914258,11,HCF and LCM,250
CBSE,6th CBSE,Mathematics,5914379,12,Proportion,281
CBSE,6th CBSE,Mathematics,5914267,13,Basic Geometrical shapes,294
CBSE,6th CBSE,Mathematics,5914385,14,Measuring Line Segments,131
CBSE,6th CBSE,Mathematics,5914386,15,Construction of Line Segment and a Circle,141
CBSE,6th CBSE,Science,5914416,16,The Flower,176
CBSE,6th CBSE,Science,5914432,17,Pond-The Underwater Ecosystem,253
CBSE,6th CBSE,Science,5912176,18,The amazing process of photosynthesis,291
CBSE,6th CBSE,Science,5912173,19,Types of plants,180
CBSE,6th CBSE,Science,5912163,20,Nutrients in Food,149
CBSE,7th CBSE,Science,5912215,1,Heat Transfer by Conduction,279
CBSE,7th CBSE,Science,5914750,2,Image Formed by a Convex Lens,297
CBSE,7th CBSE,Science,5912232,3,Heating Effect of Electric Current,186
CBSE,7th CBSE,Science,5914740,4,Electromagnet and its Application,167
CBSE,7th CBSE,Science,5912231,5,Measurement of Time,542
CBSE,7th CBSE,Science,5912220,6,Neutralisation Reactions,192
CBSE,7th CBSE,Science,5914672,7,Chemical Reactions and their Characteristics,142
