Goal,Exam,Goal_code,Exam_code,Grade
CBSE,6th CBSE,kve97670,kve99562,6
CBSE,7th CBSE,kve97670,kve100245,7
CBSE,8th CBSE,kve97671,kve101426,8
CBSE,9th CBSE,kve97672,kve99731,9
CBSE,10th CBSE,kve97673,kve97915,10
CBSE,11th CBSE,kve97674,kve100513,11
CBSE,12th CBSE,kve97675,kve97671,12
Engineering,JEE Advanced,kve383630,kve431250,PreUG
Engineering,JEE Main,kve383630,kve383631,PreUG
Medical,NEET,kve385443,kve385437,PreUG
Banking,IBPS PO Mains,kve84464,kve401024,PrePG
Banking,IBPS RRB Officer Scale-I Prelims,kve84465,kve402680,PrePG
Banking,IBPS Clerk Prelims,kve84466,kve401761,PrePG
Banking,IBPS Clerk Mains,kve84467,kve401964,PrePG
Banking,IBPS RRB Office Assistant Mains,kve84468,kve403312,PrePG
Banking,IBPS RRB Office Assistant Prelims,kve84469,kve403162,PrePG
Banking,IBPS PO Prelims,kve84470,kve400818,PrePG
Banking,SBI PO Mains,kve84471,kve401509,PrePG
Banking,IBPS RRB Officer Scale-I Mains,kve84472,kve402834,PrePG
Banking,SBI Clerk Prelims,kve84473,kve402217,PrePG
Banking,SBI Clerk Mains,kve84474,kve402423,PrePG
Banking,SBI PO Prelims,kve84475,kve401302,PrePG
Insurance,Insurance,kve455460,kve455461,PrePG
Railways,Railways,kve454905,kve454906,PrePG
SSC,SSC,kve457846,kve457847,PrePG
Teaching,CTET Paper 1,kve64601,kve64602,PrePG
Teaching,CTET Paper 2,kve64602,kve225492,PrePG
Defence,Defence,kve456851,kve456852,PrePG
