Child_id,Exam,Goal,Title,Id,Subject
5859299,6th CBSE,CBSE,Electric Conductors and Insulators,5912186,Science
5859299,6th CBSE,CBSE,Concept of Magnetism,5914455,Science
5859299,6th CBSE,CBSE,Mirror and Reflection,5912183,Science
5859299,6th CBSE,CBSE,Measurement of Length,5914443,Science
5859299,6th CBSE,CBSE,Making a Bulb Glow Using Electricity,5914451,Science
5859299,6th CBSE,CBSE,Type of Changes Around Us,5914412,Science
5859299,6th CBSE,CBSE,Reversible and Irreversible Changes,5912172,Science
5859299,6th CBSE,CBSE,Separation Techniques for Mixtures,5912171,Science
5859299,6th CBSE,CBSE,Separation Techniques for Solid-Liquid Mixtures,5914409,Science
5859299,6th CBSE,CBSE,Evaporation as a Method of Separation,5914410,Science
5859299,6th CBSE,CBSE,HCF and LCM,5914258,Mathematics
5859299,6th CBSE,CBSE,Proportion,5914379,Mathematics
5859299,6th CBSE,CBSE,Basic Geometrical shapes,5914267,Mathematics
5859299,6th CBSE,CBSE,Measuring Line Segments,5914385,Mathematics
5859299,6th CBSE,CBSE,Construction of Line Segment and a Circle,5914386,Mathematics
5859299,7th CBSE,CBSE,Heat Transfer by Conduction,5912215,Science
5859299,7th CBSE,CBSE,Image Formed by a Convex Lens,5914750,Science
5859299,7th CBSE,CBSE,Heating Effect of Electric Current,5912232,Science
5859299,7th CBSE,CBSE,Electromagnet and its Application,5914740,Science
5859299,7th CBSE,CBSE,Measurement of Time,5912231,Science
5859299,7th CBSE,CBSE,Neutralisation Reactions,5912220,Science
5859299,7th CBSE,CBSE,Chemical Reactions and their Characteristics,5914672,Science
5859299,7th CBSE,CBSE, Depletion of water table,5914757,Science
5859299,7th CBSE,CBSE,Importance of Water,5912237,Science
5859299,7th CBSE,CBSE,Effects of Water Pollution on The Environment,5914771,Science
5859299,7th CBSE,CBSE,Area of a circle,5914600,Mathematics
5859299,7th CBSE,CBSE,What Are Variables?,5914510,Mathematics
5859299,7th CBSE,CBSE,Basics of Fractions,5912195,Mathematics
5859299,7th CBSE,CBSE,Product of Two Integers,5912192,Mathematics
5859299,7th CBSE,CBSE,Pythagoras Theorem,5914539,Mathematics
5859299,8th CBSE,CBSE,Laws of Reflection of Light,5912433,Science
5859299,8th CBSE,CBSE,Rolling and Sliding Friction,5914886,Science
5859299,8th CBSE,CBSE,Phases of the moon,5914905,Science
5859299,8th CBSE,CBSE,Force : A Push or A Pull,5914877,Science
5859299,8th CBSE,CBSE,Forces are due to Interaction,5914878,Science
5859299,8th CBSE,CBSE,"Products of Coal - Coal Tar, Coal Gas and Coke",5912373,Science
5859299,8th CBSE,CBSE,Reaction of Metallic Oxides with Water,5912368,Science
5859299,8th CBSE,CBSE,Reaction of Non Metals with Oxygen,5912369,Science
5859299,8th CBSE,CBSE,Types of Viruses,5912357,Science
5859299,8th CBSE,CBSE,Our Ecosystem,5914852,Science
5859299,8th CBSE,CBSE,Surface Area of Rectangular Solids,5912315,Mathematics
5859299,8th CBSE,CBSE,Pie Chart,5912272,Mathematics
5859299,8th CBSE,CBSE,Rational Numbers: Introduction,5912238,Mathematics
5859299,8th CBSE,CBSE,Geometric and Algebraic Proof of (a+b)^2,5912304,Mathematics
5859299,8th CBSE,CBSE,Some Special Types of Parallelograms,5912251,Mathematics
5859299,9th CBSE,CBSE,Archimedes’ Principle - Statement and Applications,5915033,Science
5859299,9th CBSE,CBSE,Sonar,5912686,Science
5859299,9th CBSE,CBSE,Acceleration,5912639,Science
5859299,9th CBSE,CBSE,Law of Conservation of Energy,5912675,Science
5859299,9th CBSE,CBSE,Introduction to Motion,5912638,Science
5859299,9th CBSE,CBSE,Valency and Its Calculation,5912606,Science
5859299,9th CBSE,CBSE,"Atoms, Molecules and Ions",5914985,Science
5859299,9th CBSE,CBSE, Chemical Bonding,5914997,Science
5859299,9th CBSE,CBSE,Constitution of the Atomic Nucleus,5914998,Science
5859299,9th CBSE,CBSE,Complex tissues (Xylem and phloem),5915011,Science
5859299,9th CBSE,CBSE,Introduction to the Volume of a Cylinder,5912564,Mathematics
5859299,9th CBSE,CBSE,Properties of a Parallelogram,5912502,Mathematics
5859299,9th CBSE,CBSE,Number System: Revision,5914912,Mathematics
5859299,9th CBSE,CBSE,Expansion of (a + b)3,5914940,Mathematics
5859299,9th CBSE,CBSE,Understanding the RHS Congruence Criteria,5912487,Mathematics
5859299,10th CBSE,CBSE,Magnetic Field-Current Carrying Circular Loop,5915191,Science
5859299,10th CBSE,CBSE,Electric Motor,5912987,Science
5859299,10th CBSE,CBSE,Hydroelectric Power,5913003,Science
5859299,10th CBSE,CBSE,Atmospheric Refraction,5912957,Science
